Column1;area;perimeter;nb_neighbor;aniso;fx;fy;fz
2;37.30821213324157;25.552911749349548;5.0;1.9650230609751649;5.999343349999999;84.75619294999998;6.646732500000001
41;14.62689663537266;15.77507450866392;4.0;2.1354610460408905;6.038300124999999;65.30415856249999;5.40301875
35;15.425679166303384;16.931590472367734;5.0;2.025554865774244;6.058924299999999;51.157120299999995;3.60880875
94;26.523078633236757;19.884789547403624;6.0;1.6342056911464866;6.179613916666667;20.261342291666665;14.000275
5;40.82429714875948;27.2365617905926;5.0;2.4984267751353846;6.393494249999999;106.59490269999999;15.577005
13;33.985947288014124;23.578705830876554;8.0;1.5779447447613395;6.5710913125;77.18597493749999;7.09783359375
56;24.893115207610002;21.520275355071178;7.0;2.2298438739803177;6.655388535714286;62.0100195;6.102061607142858
89;20.586777621795594;18.889771008394124;5.0;1.8146098760997407;6.76014625;26.389777700000003;7.890446249999999
42;12.836783688167026;18.277832149711827;5.0;3.6202309419793846;6.980137449999999;54.97488425;4.6078575
1;39.97017431092295;25.006640766759716;6.0;1.8018079870123467;7.233738416666665;93.51917574999999;8.835125
85;8.339683827679407;11.873184420935393;6.0;1.616735270726781;7.386510083333332;29.416184416666667;6.3375031250000005
22;23.399403625075685;19.83513511909517;8.0;1.8239630921231254;7.636673687499999;69.13395328125;8.3593875
32;32.97922472248076;22.833751422860622;5.0;1.6704948718444312;7.76843925;76.721931;9.60310125
98;16.29398692485915;16.28113516167637;4.0;1.7217879628471362;8.1179044375;14.963984749999998;21.866934375
73;21.226473769803405;18.25992097983048;7.0;1.6979583073046247;8.38389082142857;33.72871032142857;4.7767928571428575
96;16.04043551925115;15.509928340151923;6.0;1.6500622726520187;8.394803083333333;16.400038416666664;18.75765
95;18.428228305926428;16.668530261754707;6.0;1.438682171058992;8.421538125;21.712673125;11.604596875
3;39.90906647748468;26.219636938783776;7.0;2.088446290886276;9.077910678571428;101.53968825;13.747842857142857
28;36.99723725351613;22.913065456575772;7.0;1.3264453113167332;9.225226214285714;77.13768817857142;7.6312178571428575
40;12.625238369896994;19.791161091603833;7.0;4.459653524153986;9.290699785714285;64.73699375;9.306008035714285
36;41.54097934616399;27.345865007488545;6.0;2.0918135724486127;9.380180333333334;71.73393608333333;4.5534875
