,res,diameter,aniso_cell,area,c_perimeter,volume,center_diameter,l,b
37,True,29.3212808839222,1.6226610726071728,0.8430441983587339,3.571407831205162,4122.565241041074,"vert
0       6915.163590
1       6772.801476
2       6814.682307
3       6811.485738
4       6974.373303
           ...     
3295    4900.106267
3296    4734.906205
3297    4398.301144
3298    3458.873707
3299    4211.109944
Length: 3300, dtype: float64",2.1544346900318823e-05,0.0025118864315095794
38,True,29.790027472297332,1.6624952874103558,0.89162025141311,3.684584243415577,4530.140800193134,"vert
0       8368.313375
1       8195.351902
2       8297.200875
3       8347.423339
4       8298.227282
           ...     
3295    5741.452347
3296    5565.775338
3297    5096.719875
3298    4062.721878
3299    5047.191299
Length: 3300, dtype: float64",3.9810717055349695e-05,0.0025118864315095794
39,True,30.196957642570855,1.6874399276421346,0.9283587197138927,3.768823013541121,4874.441067695457,"vert
0       9309.273918
1       9335.007054
2       9335.835377
3       9362.792735
4       9297.884638
           ...     
3295    6450.707490
3296    6282.893568
3297    5758.251341
3298    4636.969593
3299    5728.339560
Length: 3300, dtype: float64",7.356422544596421e-05,0.0025118864315095794
40,True,29.58346009977358,1.738863873982827,0.9555628819017945,3.840712923107735,5150.249852609678,"vert
0       10484.406449
1       10627.172636
2       10575.343266
3       10600.914690
4       10493.496376
            ...     
3295     7478.995873
3296     7245.550889
3297     6641.698908
3298     5507.743703
3299     6696.412747
Length: 3300, dtype: float64",0.00013593563908785255,0.0025118864315095794
41,True,29.64817389623778,1.7662727997993999,0.9708694985090235,3.8813134821892143,5338.968021258308,"vert
0       11386.916567
1       11522.949681
2       11455.708333
3       11494.500002
4       11400.012368
            ...     
3295     8053.164781
3296     7808.127560
3297     7146.916208
3298     5976.489146
3299     7308.924382
Length: 3300, dtype: float64",0.00025118864315095795,0.0025118864315095794
42,True,29.101939763044278,1.7915530585566646,0.9882047068965726,3.924005215981685,5452.014751584215,"vert
0       12244.658744
1       12476.978322
2       12370.495893
3       12410.280800
4       12280.375465
            ...     
3295     8559.602077
3296     8201.196993
3297     7449.412092
3298     6391.049994
3299     7844.781161
Length: 3300, dtype: float64",0.00046415888336127773,0.0025118864315095794
43,True,30.283097782480915,1.74684143283205,1.0008885874202869,3.9340636918418745,5520.693776221094,"vert
0       11846.582636
1       12048.134269
2       12006.070483
3       12034.327949
4       11871.669478
            ...     
3295     8179.938739
3296     7917.036291
3297     7210.127446
3298     6004.270651
3299     7379.888328
Length: 3300, dtype: float64",0.0008576958985908938,0.0025118864315095794
44,True,30.404420187106215,1.747574163845444,1.004372304557057,3.941289832729643,5555.841146064539,"vert
0       11916.278175
1       12121.234615
2       12071.993268
3       12086.455370
4       11946.445120
            ...     
3295     8227.857866
3296     7968.343929
3297     7260.557399
3298     6032.160692
3299     7428.961169
Length: 3300, dtype: float64",0.001584893192461114,0.0025118864315095794
45,True,30.980586675379254,1.7365096599050223,1.0019893467036334,3.933290713675759,5574.557486612249,"vert
0       11589.843870
1       11791.441161
2       11671.311972
3       11720.463687
4       11581.535656
            ...     
3295     8060.038328
3296     7925.246057
3297     7255.255726
3298     5915.904502
3299     7267.884318
Length: 3300, dtype: float64",0.0029286445646252374,0.0025118864315095794
46,True,30.782329537038546,1.739327190355095,1.0056612973646992,3.940947668279134,5586.326636439727,"vert
0       11871.923943
1       11937.460534
2       11922.271914
3       12006.225992
4       11757.544010
            ...     
3295     8198.919794
3296     8010.658512
3297     7302.945980
3298     6003.551701
3299     7375.030364
Length: 3300, dtype: float64",0.0054116952654646375,0.0025118864315095794
47,True,29.15379711704176,1.822310456830455,0.9926693910007408,3.9448921801482517,5592.934343970338,"vert
0       12981.224921
1       13185.817950
2       13119.978571
3       13150.162841
4       13013.076753
            ...     
3295     9100.863165
3296     8798.223049
3297     8011.443862
3298     6874.336013
3299     8433.019469
Length: 3300, dtype: float64",0.01,0.0025118864315095794
48,True,27.208902696545636,1.362329413014499,0.7445148396471342,3.2931189819211357,2751.2395588366235,"vert
0       4452.225934
1       3004.443316
2       2564.226554
3       2917.049413
4       4442.536890
           ...     
3295    2835.288239
3296    3195.603118
3297    2949.208553
3298    1708.091838
3299    2187.537511
Length: 3300, dtype: float64",1e-06,0.003981071705534973
49,True,27.304554612510742,1.3872234176059604,0.7508698434203045,3.3112841813709744,2866.8595767189454,"vert
0       4594.887661
1       3129.917923
2       2791.209938
3       3113.664672
4       4627.890268
           ...     
3295    2951.555784
3296    3346.347451
3297    3135.066959
3298    1813.335164
3299    2314.339454
Length: 3300, dtype: float64",1.8478497974222906e-06,0.003981071705534973
50,True,28.00563107797273,1.5086872636035105,0.7698655663385339,3.3818618997504766,3317.0550861546412,"vert
0       5585.194426
1       4531.882792
2       4634.967466
3       4743.906508
4       5558.369221
           ...     
3295    3574.508655
3296    3450.436293
3297    3183.783953
3298    2308.399763
3299    2885.974829
Length: 3300, dtype: float64",3.414548873833601e-06,0.003981071705534973
51,True,27.73146878996298,1.498371622803178,0.776699021850005,3.392803522566894,3346.7869783275396,"vert
0       5552.810281
1       4338.533528
2       4623.115500
3       4741.581745
4       5586.572772
           ...     
3295    3570.272259
3296    3501.866781
3297    3360.813706
3298    2328.410631
3299    2852.156660
Length: 3300, dtype: float64",6.30957344480193e-06,0.003981071705534973
52,True,28.511777455112316,1.608764698398831,0.819451230540536,3.51674097046415,3833.3692816314538,"vert
0       6674.849271
1       6140.659210
2       6378.964488
3       6490.820494
4       6471.543663
           ...     
3295    4385.249085
3296    4259.191989
3297    3916.521337
3298    3023.946821
3299    3824.564779
Length: 3300, dtype: float64",1.165914401179831e-05,0.003981071705534973
53,True,28.917537125150297,1.6183218174459408,0.8338866978595328,3.550277612246226,4035.0312754569745,"vert
0       6736.611043
1       6486.771702
2       6558.036190
3       6560.459961
4       6750.278643
           ...     
3295    4789.143989
3296    4645.438672
3297    4317.047920
3298    3375.365710
3299    4135.221971
Length: 3300, dtype: float64",2.1544346900318823e-05,0.003981071705534973
54,True,28.65592835682196,1.6891317346161268,0.8813887632919508,3.6716449453787035,4487.67719611936,"vert
0       8074.456788
1       8025.788576
2       8033.034876
3       8064.228888
4       8098.378554
           ...     
3295    6056.931624
3296    5899.711967
3297    5489.598215
3298    4373.079683
3299    5287.424753
Length: 3300, dtype: float64",3.9810717055349695e-05,0.003981071705534973
55,True,28.38977080053632,1.7568529934207249,0.9201969256879639,3.774106527581625,4874.01283525865,"vert
0       9662.814639
1       9675.655927
2       9672.600189
3       9691.996418
4       9704.743527
           ...     
3295    7339.829115
3296    7090.233750
3297    6566.415611
3298    5413.490903
3299    6482.047532
Length: 3300, dtype: float64",7.356422544596421e-05,0.003981071705534973
